,Organisation Name,Town/City,County,Type & Rating,Route
55733,Quantum Dice Limited,Oxford,,Worker (A rating),Skilled Worker
55995,R R Alden Oxford Ltd,Oxford,,Worker (A rating),Skilled Worker
56846,Rebellion Group Ltd,Oxford,,Worker (A rating),Skilled Worker
57135,Refeyn Limited,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
57136,Refeyn Limited,Oxford,Oxfordshire,Worker (A rating),Scale-up
57268,RELAYWARE LIMITED t/a Zift Solutions,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
57417,Repair My Phone (Oxford) Limited,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
57770,RICE BOX LIMITED,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
57849,Ridgefield Consulting Ltd,Oxford,,Worker (A rating),Skilled Worker
58073,River Thame Conservation Trust,Oxford,,Worker (A rating),Skilled Worker
59024,Ruchi's Dosapark Ltd T/a Dosa Park,Oxford,,Worker (A rating),Skilled Worker
59197,Rye St Antony School,Oxford,,Worker (A rating),Skilled Worker
59198,Rye St Antony School,Oxford,,Temporary Worker (A rating),Charity Worker
59214,Ryse Hydrogen Limited,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
60068,Sanghera Supermarket Ltd,Oxford,,Worker (A rating),Skilled Worker
60116,Santa Rita Europe Limited,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
60117,Santa Rita Europe Limited,Oxford,Oxfordshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
60809,SEABROOK SERVICES LTD,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
61042,SEI Oxford Office Ltd,Oxford,,Worker (A rating),Skilled Worker
61249,Serbian Orthodox Parish of Oxford,Oxford,Oxfordshire,Worker (A rating),Tier 2 Ministers of Religion
61254,SERELAY LIMITED,Oxford,,Worker (A rating),Skilled Worker
61431,SFA (Oxford) Limited,Oxford,,Worker (A rating),Skilled Worker
61642,Sharp Laboratories of Europe Ltd,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
61643,Sharp Laboratories of Europe Ltd,Oxford,Oxfordshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
61664,Shaw Gibbs Limited,Oxford,,Worker (A rating),Skilled Worker
61665,Shaw Gibbs Ltd,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
62100,Shreeji Superstore Limited,Oxford,,Worker (A rating),Skilled Worker
62776,Sitryx Therapeutics Limited,Oxford,,Worker (A rating),Skilled Worker
63666,Solid State Logic UK Ltd t/a Solid State Logic,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
63667,Solid State Logic UK Ltd t/a Solid State Logic,Oxford,Oxfordshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
63937,Source Market Access Ltd,Oxford,OXON,Worker (A rating),Skilled Worker
64473,Spintex Engineering Limited,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
64682,Spybiotech Limited,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
64942,St Aldate's Church,Oxford,Oxon,Temporary Worker (A rating),Religious Worker
64943,St Aldate's Church,Oxford,Oxon,Temporary Worker (A rating),Charity Worker
64955,St Andrew's Residential Care Home Limited,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
65017,St Ebbe's Church,Oxford,,Worker (A rating),Tier 2 Ministers of Religion
65018,St Ebbe's Church,Oxford,,Temporary Worker (A rating),Religious Worker
65019,St Ebbe's Church,Oxford,,Temporary Worker (A rating),Charity Worker
65026,St Edward's School,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
65027,St Edward's School,Oxford,Oxfordshire,Temporary Worker (A rating),Creative Worker
65316,Stadium Capital Management Europe LLP,Oxford,,Worker (A rating),Skilled Worker
65756,Stichting Oxfam International,Oxford,Oxon,Worker (A rating),Skilled Worker
65757,Stichting Oxfam International,Oxford,Oxon,Temporary Worker (A rating),Charity Worker
65758,Stichting Oxfam International,Oxford,Oxon,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
65813,Stockopedia Limited,Oxford,,Worker (A rating),Skilled Worker
66376,Summer Fields School Trust Ltd,Oxford,Oxon,Worker (A rating),Skilled Worker
66377,Summer Fields School Trust Ltd,Oxford,Oxon,Temporary Worker (A rating),Charity Worker
66410,Sun Bear Bioworks,Oxford,,Worker (A rating),Skilled Worker
67134,Synergy Global Consulting Ltd,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
67593,Tap Social Movement,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
67691,Taste Tibet Limited,Oxford,,Worker (A rating),Skilled Worker
67866,T-Cypher Bio Limited,Oxford,,Worker (A rating),Skilled Worker
67933,Team TI LTD,Oxford,,Worker (A rating),Skilled Worker
68256,Temple Street Dental Practice,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
68477,TFP Fertility Holding Ltd,Oxford,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
68478,TFP Fertility Holding Ltd,Oxford,,Worker (A rating),Skilled Worker
68730,The Aunties Ltd T/A The Aunties Old School Nursery,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
68774,The Beckley Foundation,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
68835,The Blockhouse Technology Limited,Oxford,,Worker (A rating),Skilled Worker
68981,"The Centre for Enterprise, Markets and Ethics",Oxford,,Worker (A rating),Skilled Worker
68982,"The Centre for Enterprise, Markets and Ethics",Oxford,,Temporary Worker (A rating),Charity Worker
69371,The Faraday Institution,Oxford,,Worker (A rating),Skilled Worker
70007,The Manor Surgery,Oxford,,Worker (A rating),Skilled Worker
70100,The Mole Group LLP,Oxford,UK,Worker (A rating),Skilled Worker
70201,The Numerical Algorithms Group,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
70281,The Oxford Artisan Distillery,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
70282,The Oxford Asset Management Company Limited,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
70283,The Oxford Evangelical Pastorate,Oxford,,Temporary Worker (A rating),Religious Worker
70559,The Rhodes Trust,Oxford,,Worker (A rating),Skilled Worker
70958,The Vine & Spice,Oxford,,Worker (A rating),Skilled Worker
71126,Theolytics LTD,Oxford,,Worker (A rating),Skilled Worker
71220,This Is Language Ltd,Oxford,,Worker (A rating),Skilled Worker
71348,THRANGU RINPOCHE TRUST,Oxford,,Worker (A rating),Tier 2 Ministers of Religion
71349,THRANGU RINPOCHE TRUST,Oxford,,Temporary Worker (A rating),Religious Worker
71430,TI Education Services Ltd,Oxford,OXON,Worker (A rating),Skilled Worker
71431,TI Education Services Ltd,Oxford,OXON,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
71432,TI Group Automotive Systems Limited,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
72128,Toys of Wood Oxford Ltd,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
72654,Triple J Aviation Engineering,Oxford,,Worker (A rating),Skilled Worker
72849,TSE Restaurants Limited T/A Xi'an Oxford,Oxford,,Worker (A rating),Skilled Worker
73020,Turpin & Miller LLP,Oxford,,Worker (A rating),Skilled Worker
73101,Twinkle Star Trading Ltd,Oxford,,Worker (A rating),Skilled Worker
73220,Uberbinder Limited,Oxford,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
73221,Uberbinder Limited,Oxford,,Worker (A rating),Skilled Worker
73276,Ufonia Ltd,Oxford,,Worker (A rating),Skilled Worker
73526,Ultromics Limited,Oxford,,Worker (A rating),Skilled Worker
73591,Uniabroad Ltd,Oxford,,Worker (A rating),Skilled Worker
73863,Universities and Colleges Christian Fellowship,Oxford,,Worker (A rating),Skilled Worker
73864,Universities and Colleges Christian Fellowship,Oxford,,Temporary Worker (A rating),Charity Worker
73865,Universities and Colleges Christian Fellowship,Oxford,,Worker (A rating),Tier 2 Ministers of Religion
73983,University of Oxford,Oxford,Oxfordshire,Worker (A (SME+)),Skilled Worker
73984,University of Oxford,Oxford,Oxfordshire,Temporary Worker (A (SME+)),Government Authorised Exchange
74216,Urwin (Oxford) Ltd,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
74369,Vale House,Oxford,Oxon,Worker (A rating),Skilled Worker
74664,Veeva Systems UK Ltd,Oxford,,Worker (A rating),Skilled Worker
74665,Veeva Systems UK Ltd,Oxford,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
74806,Veridium UK Limited,Oxford,,Worker (A rating),Skilled Worker
74807,Veridium UK Limited,Oxford,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
74874,Verso Biosense Limited,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
74903,VERTX ASSOCIATES LIMITED,Oxford,,Worker (A rating),Skilled Worker
75347,Visible Analytics Limited,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
75426,Visual Meaning Limited,Oxford,,Worker (A rating),Skilled Worker
76112,Washington International Studies Council,Oxford,Oxon,Worker (A rating),Skilled Worker
76253,Waymo UK Ltd,Oxford,,Worker (A rating),Skilled Worker
76254,Waymo UK Ltd,Oxford,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
76321,We Own It Ltd,Oxford,,Worker (A rating),Skilled Worker
76393,We-Care-Recruitment Ltd,Oxford,,Worker (A rating),Skilled Worker
76896,WheelRight Ltd,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
77191,Williams College Oxford Programme,Oxford,,Worker (A rating),Skilled Worker
77192,Williams College Oxford Programme,Oxford,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
77317,Windle Trust International,Oxford,Oxfordshire,Temporary Worker (A rating),Charity Worker
78168,Xpergia Limited,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
78229,XZYAB Ltd,Oxford,,Worker (A rating),Skilled Worker
78315,YASA Limited,Oxford,,Worker (A rating),Skilled Worker
78446,YoD Care Services,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
78976,ZHANGJI ORIENTAL FOOD LIMITED,Oxford,,Worker (A rating),Skilled Worker
78985,ZI MAT LImited,Oxford,,Worker (A rating),Skilled Worker
79104,Zooplus Services Limited,Oxford,,Worker (A rating),Skilled Worker
79181,Zzoomm Plc,Oxford,,Worker (A rating),Skilled Worker
